Kabupaten/Kota,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton)
Kepulauan Selayar,1578.55,40.71,6425.68
Bulukumba,42683.42,50.6,215957.87
Bantaeng,9642.38,48.9,47147.1
Jeneponto,25283.45,44.57,112692.14
Takalar,27725.73,45.64,126551.43
Gowa,48550.38,47.71,231655.61
Sinjai,22492.38,48.2,108419.68
Maros,37779.27,48.19,182044.08
Pangkajene Dan Kepulauan,26399.15,42.99,113503.07
Barru,21957.57,50.21,110252.86
Bone,170329.8,49.76,847495.03
Soppeng,49038.41,52.98,259790.95
Wajo,140614.59,45.43,638815.52
Sidenreng Rappang,89088.44,54.31,483868.74
Pinrang,77791.79,58.38,454111.97
Enrekang,6914.1,46.2,31942.73
Luwu,51520.92,56.69,292072.62
Tana Toraja,15424.55,45.76,70579.51
Luwu Utara,37050.01,52.55,194714.72
Luwu Timur,39673.74,57.77,229196.23
Toraja Utara,19888.89,43.4,86316.43
Kota Makassar,2475.34,52.15,12907.7
Kota Parepare,962.16,40.08,3856.8
Kota Palopo,2925.19,54.93,16067.64
Sulawesi Selatan,967790.21,50.39,4876386.11
